iter	Passed	Remaining
761	1196	373
762	1197	372
763	1199	370
764	1200	368
765	1202	367
766	1203	365
767	1204	363
768	1206	362
769	1207	360
770	1209	359
771	1210	357
772	1211	355
773	1213	354
774	1215	352
775	1217	351
776	1218	349
777	1219	347
778	1221	346
779	1222	344
780	1224	343
781	1225	341
782	1227	340
783	1229	338
784	1230	337
785	1232	335
786	1234	334
787	1235	332
788	1236	330
789	1238	329
790	1240	327
791	1241	326
792	1243	324
793	1244	322
794	1246	321
795	1247	319
796	1249	318
797	1250	316
798	1252	315
799	1255	313
800	1256	312
801	1257	310
802	1259	308
803	1260	307
804	1262	305
805	1263	304
806	1265	302
807	1267	301
808	1268	299
809	1270	297
810	1271	296
811	1273	294
812	1275	293
813	1276	291
814	1278	290
815	1280	288
816	1281	287
817	1283	285
818	1284	283
819	1286	282
820	1287	280
821	1289	279
822	1291	277
823	1292	276
824	1293	274
825	1295	272
826	1296	271
827	1298	269
828	1300	268
829	1301	266
830	1303	265
831	1304	263
832	1307	262
833	1308	260
834	1309	258
835	1311	257
836	1313	255
837	1315	254
838	1317	252
839	1319	251
840	1321	249
841	1323	248
842	1324	246
843	1326	245
844	1327	243
845	1329	241
846	1330	240
847	1335	239
848	1336	237
849	1338	236
850	1339	234
851	1340	232
852	1341	231
853	1343	229
854	1344	228
855	1345	226
856	1347	224
857	1349	223
858	1351	221
859	1352	220
860	1354	218
861	1357	217
862	1359	215
863	1361	214
864	1362	212
865	1364	211
866	1365	209
867	1366	207
868	1368	206
869	1370	204
870	1371	203
871	1372	201
872	1374	199
873	1376	198
874	1378	196
875	1380	195
876	1382	193
877	1383	192
878	1385	190
879	1386	189
880	1388	187
881	1389	185
882	1391	184
883	1392	182
884	1394	181
885	1395	179
886	1396	177
887	1398	176
888	1399	174
889	1402	173
890	1403	171
891	1404	170
892	1405	168
893	1407	166
894	1410	165
895	1411	163
896	1412	162
897	1414	160
898	1416	159
899	1418	157
900	1420	156
901	1422	154
902	1424	152
903	1425	151
904	1427	149
905	1432	148
906	1434	147
907	1435	145
908	1437	143
909	1438	142
910	1440	140
911	1441	139
912	1442	137
913	1444	135
914	1445	134
915	1446	132
916	1448	131
917	1449	129
918	1450	127
919	1451	126
920	1454	124
921	1455	123
922	1457	121
923	1461	120
924	1463	118
925	1464	117
926	1465	115
927	1467	113
928	1469	112
929	1470	110
930	1472	109
931	1474	107
932	1475	105
933	1476	104
934	1478	102
935	1480	101
936	1481	99
937	1482	98
938	1484	96
939	1486	94
940	1488	93
941	1490	91
942	1491	90
943	1493	88
944	1494	87
945	1496	85
946	1501	84
947	1503	82
948	1504	80
949	1505	79
950	1508	77
951	1510	76
952	1511	74
953	1514	73
954	1516	71
955	1517	69
956	1519	68
957	1520	66
958	1522	65
959	1524	63
960	1526	61
961	1528	60
962	1530	58
963	1531	57
964	1533	55
965	1535	54
966	1536	52
967	1538	50
968	1539	49
969	1541	47
970	1542	46
971	1544	44
972	1546	42
973	1547	41
974	1548	39
975	1550	38
976	1552	36
977	1553	34
978	1554	33
979	1556	31
980	1557	30
981	1558	28
982	1560	26
983	1562	25
984	1564	23
985	1566	22
986	1567	20
987	1570	19
988	1571	17
989	1574	15
990	1576	14
991	1577	12
992	1579	11
993	1580	9
994	1581	7
995	1585	6
996	1586	4
997	1588	3
998	1590	1
999	1592	0
